frame 1,0.6459090999851469
frame 2,0.6346246000030078
frame 3,0.6438210999767762
frame 4,0.62272220000159
frame 5,0.6276160000124946
frame 6,0.624236599978758
frame 7,0.6292093000083696
frame 8,0.6286817000072915
frame 9,0.6368479000229854
frame 10,0.628690599987749
frame 11,0.6373789999925066
frame 12,0.6291277999989688
frame 13,0.6347329999844078
frame 14,0.6229234999918845
frame 15,0.6329641000193078
frame 16,0.62755790000665
frame 17,0.6230784000072163
frame 18,0.6272066999808885
frame 19,0.6298774000024423
frame 20,0.6247494000126608
frame 21,0.6339483999763615
frame 22,0.6200428000011016
frame 23,0.6266640000103507
frame 24,0.6267561000131536
frame 25,0.6237904000154231
frame 26,0.6390874000207987
frame 27,0.6286633999843616
frame 28,0.6266393000259995
frame 29,0.6249928999750409
frame 30,0.6209358999913093
frame 31,0.6431382999871857
frame 32,0.673289800004568
frame 33,0.6228745999978855
frame 34,0.6314330000022892
frame 35,0.6229652999900281
frame 36,0.6255435000057332
frame 37,0.62204409998958
frame 38,0.6175598000118043
frame 39,0.621499800006859
frame 40,0.6242278999998234
frame 41,0.6255189999938011
frame 42,0.6307700999896042
frame 43,0.6289965999894775
frame 44,0.6291531000169925
frame 45,0.6693013999902178
frame 46,0.6351115999859758
frame 47,0.6307537999819033
frame 48,0.6227549000177532
frame 49,0.6230525000137277
frame 50,0.6352917000185698
frame 51,0.6348161000059918
frame 52,0.6323210000118706
frame 53,0.6553145999787375
frame 54,0.6291453000158072
frame 55,0.6247955999861006
frame 56,0.6209628999931738
frame 57,0.6256492999964394
frame 58,0.6225965000048745
frame 59,0.6296759000106249
frame 60,0.6302302999829408
frame 61,0.6262825000158045
frame 62,0.6476606999931391
frame 63,0.6272090999991633
frame 64,0.6288805000076536
frame 65,0.6231781000096817
frame 66,0.6335271999996621
frame 67,0.6378122000023723
frame 68,0.6324061999912374
frame 69,0.6347823000105564
frame 70,0.628558399999747
frame 71,0.6238831999944523
frame 72,0.6224933000048622
frame 73,0.6290586999966763
frame 74,0.62427940001362
frame 75,0.6200104000163265
frame 76,0.6311493000248447
frame 77,0.625105099985376
frame 78,0.6219737000064924
frame 79,0.6192532999848481
frame 80,0.6217707000032533
frame 81,0.6248799999884795
frame 82,0.6156534999900032
frame 83,0.6202951000013854
frame 84,0.6295950000057928
frame 85,0.6212179000140168
frame 86,0.6204292000038549
frame 87,0.6256048000068404
frame 88,0.6317452999937814
frame 89,0.6255213000113145
frame 90,0.6317281000083312
frame 91,0.6420379999908619
frame 92,0.6461717000056524
frame 93,0.6378905999881681
frame 94,0.6363489000068512
